CheckInID,MemberID,ClassID,CheckInDate,DurationMinutes
CHK01326,MB0122,C08,2024-06-26,60
CHK01327,MB0198,C03,2024-03-10,60
CHK01328,MB0154,C03,2024-06-21,60
CHK01329,MB0560,C07,2024-11-17,90
CHK01330,MB0766,C06,2024-01-04,30
CHK01331,MB0510,C07,2024-12-22,60
CHK01332,MB0787,C07,2024-06-25,90
CHK01333,MB0363,C03,2024-08-28,75
CHK01334,MB0614,C02,2024-05-23,75
CHK01335,MB0044,C05,2024-09-29,90
CHK01336,MB0263,C03,2024-08-14,60
CHK01337,MB0758,C06,2024-08-30,60
CHK01338,MB0583,C07,2024-06-19,45
CHK01339,MB0050,C08,2024-11-20,30
CHK01340,MB0217,C03,2024-12-26,75
CHK01341,MB0150,C02,2024-05-26,60
CHK01342,MB0106,C07,2024-05-24,90
CHK01343,MB0387,C08,2024-11-11,45
CHK01344,MB0733,C03,2024-11-17,30
CHK01345,MB0478,C06,2024-07-29,75
CHK01346,MB0014,C07,2024-02-25,45
CHK01347,MB0036,C05,2024-08-08,30
CHK01348,MB0163,C01,2024-10-10,45
CHK01349,MB0375,C01,2024-08-04,60
CHK01350,MB0714,C08,2024-03-13,30
CHK01351,MB0530,C01,2024-05-04,60
CHK01352,MB0401,C08,2024-04-25,60
CHK01353,MB0646,C02,2024-09-28,30
CHK01354,MB0787,C04,2024-01-11,90
CHK01355,MB0404,C02,2024-09-29,75
CHK01356,MB0555,C03,2024-07-06,75
CHK01357,MB0619,C07,2024-09-05,90
CHK01358,MB0561,C01,2024-04-16,75
CHK01359,MB0671,C07,2024-08-17,45
CHK01360,MB0441,C07,2024-11-19,45
CHK01361,MB0129,C06,2024-07-12,45
CHK01362,MB0641,C05,2024-05-24,75
CHK01363,MB0031,C05,2024-11-17,60
CHK01364,MB0525,C07,2024-03-27,90
CHK01365,MB0405,C06,2024-11-11,75
CHK01366,MB0289,C08,2024-11-04,30
CHK01367,MB0005,C03,2024-11-10,30
CHK01368,MB0337,C06,2024-01-14,30
CHK01369,MB0444,C03,2024-01-03,45
CHK01370,MB0524,C07,2024-03-09,75
CHK01371,MB0641,C07,2024-09-25,75
CHK01372,MB0358,C06,2024-06-02,60
CHK01373,MB0281,C02,2024-10-09,75
CHK01374,MB0506,C06,2024-01-02,90
CHK01375,MB0536,C04,2024-12-21,30
CHK01376,MB0546,C03,2024-12-25,75
CHK01377,MB0631,C01,2024-03-26,90
CHK01378,MB0553,C01,2024-03-20,45
CHK01379,MB0772,C01,2024-02-18,30
CHK01380,MB0472,C07,2024-01-27,45
CHK01381,MB0202,C08,2024-01-09,75
CHK01382,MB0399,C06,2024-01-08,45
CHK01383,MB0739,C01,2024-09-18,75
CHK01384,MB0401,C06,2024-03-01,90
CHK01385,MB0331,C04,2024-01-08,90
CHK01386,MB0282,C08,2024-11-23,75
CHK01387,MB0762,C02,2024-07-12,30
CHK01388,MB0044,C04,2024-07-15,90
CHK01389,MB0196,C04,2024-01-13,90
CHK01390,MB0544,C03,2024-02-11,75
CHK01391,MB0799,C02,2024-10-15,75
CHK01392,MB0498,C01,2024-04-15,75
CHK01393,MB0413,C04,2024-07-03,30
CHK01394,MB0144,C08,2024-04-03,90
CHK01395,MB0111,C01,2024-05-29,90
CHK01396,MB0612,C08,2024-05-18,90
CHK01397,MB0113,C03,2024-12-05,90
CHK01398,MB0615,C01,2024-06-20,45
CHK01399,MB0152,C04,2024-01-21,30
CHK01400,MB0254,C07,2024-07-18,75
CHK01401,MB0652,C02,2024-08-21,75
CHK01402,MB0293,C05,2024-06-27,75
CHK01403,MB0350,C08,2024-02-24,45
CHK01404,MB0358,C05,2024-12-04,90
CHK01405,MB0450,C03,2024-02-26,90
CHK01406,MB0423,C05,2024-11-23,45
CHK01407,MB0710,C01,2024-01-02,75
CHK01408,MB0238,C05,2024-12-16,60
CHK01409,MB0322,C07,2024-10-22,75
CHK01410,MB0104,C04,2024-08-24,60
CHK01411,MB0599,C07,2024-05-16,90
CHK01412,MB0119,C02,2024-07-26,45
CHK01413,MB0110,C04,2024-06-16,30
CHK01414,MB0251,C02,2024-06-22,45
CHK01415,MB0613,C08,2024-05-14,75
CHK01416,MB0630,C01,2024-03-14,45
CHK01417,MB0435,C02,2024-06-15,75
CHK01418,MB0008,C03,2024-01-26,30
CHK01419,MB0707,C06,2024-09-03,45
CHK01420,MB0312,C01,2024-10-15,75
CHK01421,MB0797,C02,2024-11-17,60
CHK01422,MB0079,C08,2024-03-17,75
CHK01423,MB0271,C02,2024-05-21,90
CHK01424,MB0735,C06,2024-12-06,90
CHK01425,MB0190,C06,2024-02-11,60
CHK01426,MB0617,C07,2024-08-13,30
CHK01427,MB0560,C02,2024-05-07,90
CHK01428,MB0046,C08,2024-11-12,60
CHK01429,MB0719,C04,2024-09-20,45
CHK01430,MB0217,C02,2024-08-03,45
CHK01431,MB0594,C05,2024-05-10,60
CHK01432,MB0066,C02,2024-05-17,30
CHK01433,MB0613,C07,2024-05-21,90
CHK01434,MB0708,C06,2024-12-12,90
CHK01435,MB0190,C05,2024-11-17,60
CHK01436,MB0267,C01,2024-08-26,75
CHK01437,MB0395,C07,2024-09-09,75
CHK01438,MB0002,C06,2024-09-20,75
CHK01439,MB0608,C04,2024-11-18,45
CHK01440,MB0351,C08,2024-12-26,45
CHK01441,MB0234,C01,2024-04-01,75
CHK01442,MB0009,C07,2024-03-25,75
CHK01443,MB0733,C01,2024-07-11,45
CHK01444,MB0164,C06,2024-09-21,60
CHK01445,MB0104,C05,2024-08-05,30
CHK01446,MB0003,C05,2024-06-01,30
CHK01447,MB0668,C05,2024-06-11,90
CHK01448,MB0701,C07,2024-01-14,60
CHK01449,MB0501,C06,2024-05-02,30
CHK01450,MB0441,C07,2024-01-07,90
CHK01451,MB0041,C05,2024-08-28,45
CHK01452,MB0268,C02,2024-02-18,75
CHK01453,MB0231,C05,2024-01-12,75
CHK01454,MB0120,C06,2024-02-17,45
CHK01455,MB0332,C03,2024-09-13,30
CHK01456,MB0141,C04,2024-11-23,75
CHK01457,MB0606,C05,2024-08-01,60
CHK01458,MB0156,C06,2024-03-21,30
CHK01459,MB0310,C06,2024-06-11,90
CHK01460,MB0720,C07,2024-12-03,60
CHK01461,MB0312,C03,2024-07-20,90
CHK01462,MB0527,C05,2024-01-17,45
CHK01463,MB0321,C06,2024-08-19,75
CHK01464,MB0618,C04,2024-04-17,90
CHK01465,MB0085,C03,2024-03-15,75
CHK01466,MB0171,C02,2024-08-31,30
CHK01467,MB0037,C06,2024-06-13,30
CHK01468,MB0140,C04,2024-07-06,90
CHK01469,MB0475,C05,2024-08-21,60
CHK01470,MB0395,C08,2024-08-09,45
CHK01471,MB0776,C05,2024-09-05,90
CHK01472,MB0277,C05,2024-11-21,90
CHK01473,MB0021,C02,2024-02-17,60
CHK01474,MB0203,C05,2024-09-11,60
CHK01475,MB0337,C07,2024-06-17,30
CHK01476,MB0768,C03,2024-12-21,60
CHK01477,MB0463,C03,2024-12-11,90
CHK01478,MB0001,C05,2024-06-14,75
CHK01479,MB0397,C05,2024-08-06,30
CHK01480,MB0184,C05,2024-05-18,75
CHK01481,MB0691,C05,2024-08-16,75
CHK01482,MB0422,C01,2024-11-16,45
CHK01483,MB0258,C08,2024-03-12,75
CHK01484,MB0191,C06,2024-05-28,30
CHK01485,MB0262,C02,2024-08-03,30
CHK01486,MB0472,C04,2024-01-25,75
CHK01487,MB0791,C07,2024-03-12,30
CHK01488,MB0003,C07,2024-05-28,60
CHK01489,MB0206,C02,2024-01-30,90
CHK01490,MB0069,C07,2024-06-16,60
CHK01491,MB0182,C06,2024-08-23,90
CHK01492,MB0772,C03,2024-11-11,75
CHK01493,MB0032,C08,2024-11-15,30
CHK01494,MB0579,C04,2024-08-08,60
CHK01495,MB0664,C01,2024-12-30,60
CHK01496,MB0489,C02,2024-05-10,30
CHK01497,MB0694,C02,2024-06-28,90
CHK01498,MB0780,C07,2024-04-14,90
CHK01499,MB0148,C02,2024-01-09,90
CHK01500,MB0193,C04,2024-06-24,60
CHK01501,MB0158,C08,2024-11-09,45
CHK01502,MB0134,C02,2024-03-23,30
CHK01503,MB0078,C01,2024-02-20,75
CHK01504,MB0135,C03,2024-02-14,90
CHK01505,MB0007,C02,2024-07-14,90
CHK01506,MB0419,C06,2024-10-12,90
CHK01507,MB0737,C03,2024-11-28,45
CHK01508,MB0719,C06,2024-03-14,30
CHK01509,MB0281,C02,2024-10-17,75
CHK01510,MB0752,C01,2024-03-13,90
CHK01511,MB0535,C02,2024-06-29,60
CHK01512,MB0210,C08,2024-06-19,45
CHK01513,MB0599,C02,2024-05-08,60
CHK01514,MB0670,C08,2024-12-05,75
CHK01515,MB0362,C06,2024-01-19,45
CHK01516,MB0112,C02,2024-12-18,60
CHK01517,MB0412,C04,2024-02-28,30
CHK01518,MB0204,C05,2024-08-13,45
CHK01519,MB0163,C03,2024-03-29,60
CHK01520,MB0017,C02,2024-04-06,30
CHK01521,MB0387,C07,2024-03-20,90
CHK01522,MB0564,C07,2024-02-17,75
CHK01523,MB0226,C08,2024-08-02,75
CHK01524,MB0017,C01,2024-01-23,75
CHK01525,MB0492,C03,2024-05-06,45
CHK01526,MB0668,C07,2024-07-15,75
CHK01527,MB0044,C05,2024-03-13,30
CHK01528,MB0270,C08,2024-10-15,90
CHK01529,MB0250,C08,2024-11-23,30
CHK01530,MB0547,C06,2024-05-21,45
CHK01531,MB0160,C05,2024-12-12,90
CHK01532,MB0092,C07,2024-10-03,60
CHK01533,MB0593,C01,2024-10-10,75
CHK01534,MB0795,C03,2024-02-07,30
CHK01535,MB0624,C04,2024-04-16,45
CHK01536,MB0089,C07,2024-10-11,45
CHK01537,MB0147,C06,2024-04-06,60
CHK01538,MB0320,C06,2024-09-30,90
CHK01539,MB0782,C02,2024-06-18,30
CHK01540,MB0449,C07,2024-10-17,30
CHK01541,MB0355,C03,2024-08-13,75
CHK01542,MB0056,C01,2024-04-01,30
CHK01543,MB0753,C07,2024-12-04,90
CHK01544,MB0390,C01,2024-07-03,60
CHK01545,MB0079,C02,2024-03-06,45
CHK01546,MB0203,C04,2024-06-24,75
CHK01547,MB0082,C03,2024-07-17,45
CHK01548,MB0086,C04,2024-02-27,45
CHK01549,MB0666,C06,2024-11-11,60
CHK01550,MB0203,C04,2024-01-03,30
CHK01551,MB0737,C06,2024-05-08,90
CHK01552,MB0619,C02,2024-01-04,90
CHK01553,MB0523,C05,2024-07-22,75
CHK01554,MB0551,C06,2024-01-16,90
CHK01555,MB0740,C01,2024-06-06,90
CHK01556,MB0291,C08,2024-11-08,90
CHK01557,MB0347,C01,2024-01-03,75
CHK01558,MB0132,C06,2024-01-07,75
CHK01559,MB0380,C03,2024-04-16,30
CHK01560,MB0462,C06,2024-05-01,60
CHK01561,MB0350,C04,2024-10-22,75
CHK01562,MB0286,C02,2024-03-23,30
CHK01563,MB0724,C06,2024-09-11,75
CHK01564,MB0230,C06,2024-11-04,30
CHK01565,MB0343,C02,2024-06-19,90
CHK01566,MB0299,C04,2024-01-19,90
CHK01567,MB0386,C01,2024-05-13,30
CHK01568,MB0502,C01,2024-09-22,60
CHK01569,MB0533,C08,2024-03-08,90
CHK01570,MB0506,C03,2024-02-05,45
CHK01571,MB0631,C08,2024-10-27,45
CHK01572,MB0634,C04,2024-07-01,45
CHK01573,MB0233,C08,2024-12-13,30
CHK01574,MB0110,C05,2024-05-10,90
CHK01575,MB0299,C04,2024-05-20,90
CHK01576,MB0148,C04,2024-01-28,30
CHK01577,MB0381,C01,2024-01-04,75
CHK01578,MB0247,C08,2024-11-26,30
CHK01579,MB0737,C02,2024-01-30,90
CHK01580,MB0332,C08,2024-06-11,60
CHK01581,MB0408,C01,2024-09-19,45
CHK01582,MB0634,C05,2024-04-05,90
CHK01583,MB0337,C06,2024-07-12,60
CHK01584,MB0295,C05,2024-07-30,90
CHK01585,MB0554,C07,2024-12-01,60
CHK01586,MB0277,C05,2024-01-22,75
CHK01587,MB0744,C08,2024-07-16,30
CHK01588,MB0012,C07,2024-05-23,75
CHK01589,MB0272,C08,2024-10-31,45
CHK01590,MB0375,C01,2024-12-12,90
CHK01591,MB0534,C05,2024-09-14,90
CHK01592,MB0268,C02,2024-07-22,75
CHK01593,MB0577,C01,2024-07-14,45
CHK01594,MB0226,C05,2024-04-20,90
CHK01595,MB0778,C01,2024-03-09,30
CHK01596,MB0158,C08,2024-06-07,60
CHK01597,MB0093,C02,2024-01-04,75
CHK01598,MB0714,C07,2024-03-21,60
CHK01599,MB0543,C06,2024-04-06,75
CHK01600,MB0256,C02,2024-07-27,75
CHK01601,MB0459,C05,2024-08-15,30
CHK01602,MB0160,C05,2024-07-09,30
CHK01603,MB0065,C02,2024-11-21,90
CHK01604,MB0006,C08,2024-12-26,30
CHK01605,MB0730,C08,2024-02-15,60
CHK01606,MB0243,C02,2024-01-10,45
CHK01607,MB0293,C04,2024-04-27,30
CHK01608,MB0326,C03,2024-05-08,30
CHK01609,MB0400,C01,2024-04-27,75
CHK01610,MB0390,C04,2024-06-22,60
CHK01611,MB0030,C07,2024-05-13,90
CHK01612,MB0166,C05,2024-10-12,30
CHK01613,MB0017,C03,2024-04-30,45
CHK01614,MB0642,C05,2024-04-05,90
CHK01615,MB0646,C04,2024-10-07,45
CHK01616,MB0613,C06,2024-09-14,45
CHK01617,MB0475,C06,2024-10-04,30
CHK01618,MB0763,C02,2024-10-18,45
CHK01619,MB0544,C04,2024-04-01,30
CHK01620,MB0001,C08,2024-06-08,45
CHK01621,MB0119,C05,2024-11-10,45
CHK01622,MB0675,C02,2024-09-13,30
CHK01623,MB0564,C08,2024-07-17,45
CHK01624,MB0248,C02,2024-12-23,30
CHK01625,MB0642,C02,2024-12-20,75
CHK01626,MB0158,C04,2024-11-24,30
CHK01627,MB0157,C02,2024-02-25,30
CHK01628,MB0278,C05,2024-12-20,60
CHK01629,MB0592,C07,2024-10-12,90
CHK01630,MB0293,C05,2024-03-14,45
CHK01631,MB0301,C04,2024-10-29,60
CHK01632,MB0688,C08,2024-08-17,60
CHK01633,MB0316,C01,2024-12-06,90
CHK01634,MB0647,C08,2024-01-11,75
CHK01635,MB0319,C04,2024-06-16,75
CHK01636,MB0737,C04,2024-04-28,75
CHK01637,MB0272,C05,2024-10-20,60
CHK01638,MB0156,C02,2024-11-27,45
CHK01639,MB0572,C04,2024-03-01,60
CHK01640,MB0656,C03,2024-09-26,60
CHK01641,MB0485,C01,2024-09-14,75
CHK01642,MB0467,C08,2024-08-06,30
CHK01643,MB0286,C07,2024-04-10,60
CHK01644,MB0054,C08,2024-01-01,30
CHK01645,MB0492,C07,2024-05-15,45
CHK01646,MB0374,C08,2024-05-30,45
CHK01647,MB0224,C04,2024-10-28,45
CHK01648,MB0378,C07,2024-08-08,75
CHK01649,MB0224,C06,2024-10-21,60
CHK01650,MB0066,C02,2024-05-21,60
CHK01651,MB0620,C02,2024-11-14,75
CHK01652,MB0114,C01,2024-06-01,30
CHK01653,MB0744,C06,2024-02-14,75
CHK01654,MB0622,C06,2024-04-05,90
CHK01655,MB0691,C06,2024-06-20,75
CHK01656,MB0377,C07,2024-11-26,90
CHK01657,MB0591,C06,2024-12-31,60
CHK01658,MB0115,C03,2024-02-21,45
CHK01659,MB0065,C07,2024-05-01,90
CHK01660,MB0162,C02,2024-02-07,75
CHK01661,MB0291,C08,2024-11-08,60
CHK01662,MB0023,C05,2024-04-24,90
CHK01663,MB0716,C01,2024-06-15,30
CHK01664,MB0109,C03,2024-06-25,60
CHK01665,MB0749,C08,2024-06-12,75
CHK01666,MB0590,C02,2024-01-02,60
CHK01667,MB0088,C04,2024-05-26,30
CHK01668,MB0613,C02,2024-11-21,60
CHK01669,MB0405,C08,2024-08-10,60
CHK01670,MB0085,C06,2024-08-10,30
CHK01671,MB0295,C03,2024-03-13,30
CHK01672,MB0675,C01,2024-07-09,60
CHK01673,MB0265,C05,2024-03-25,60
CHK01674,MB0654,C07,2024-06-18,30
CHK01675,MB0675,C03,2024-07-22,90
CHK01676,MB0202,C04,2024-06-14,45
CHK01677,MB0641,C03,2024-09-22,60
CHK01678,MB0580,C04,2024-08-27,30
CHK01679,MB0115,C03,2024-09-18,60
CHK01680,MB0198,C06,2024-02-24,45
CHK01681,MB0271,C08,2024-11-08,45
CHK01682,MB0490,C08,2024-05-05,90
CHK01683,MB0690,C04,2024-03-13,60
CHK01684,MB0514,C02,2024-01-28,30
CHK01685,MB0085,C07,2024-10-15,60
CHK01686,MB0661,C01,2024-08-02,75
CHK01687,MB0252,C07,2024-03-30,30
CHK01688,MB0434,C06,2024-12-03,30
CHK01689,MB0148,C05,2024-11-26,90
CHK01690,MB0299,C03,2024-02-02,30
CHK01691,MB0235,C06,2024-02-08,75
CHK01692,MB0248,C07,2024-04-16,75
CHK01693,MB0091,C02,2024-09-27,90
CHK01694,MB0392,C01,2024-01-07,60
CHK01695,MB0798,C05,2024-12-07,90
CHK01696,MB0294,C07,2024-01-12,45
CHK01697,MB0738,C03,2024-12-12,75
CHK01698,MB0457,C03,2024-01-19,75
CHK01699,MB0464,C06,2024-08-04,60
CHK01700,MB0124,C04,2024-02-02,75
CHK01701,MB0380,C02,2024-12-26,90
CHK01702,MB0736,C05,2024-06-04,60
CHK01703,MB0640,C02,2024-01-26,45
CHK01704,MB0583,C06,2024-11-15,90
CHK01705,MB0578,C02,2024-05-10,30
CHK01706,MB0399,C05,2024-11-14,30
CHK01707,MB0208,C03,2024-03-08,45
CHK01708,MB0220,C05,2024-06-02,90
CHK01709,MB0649,C07,2024-07-10,90
CHK01710,MB0405,C03,2024-09-10,75
CHK01711,MB0745,C04,2024-09-13,75
CHK01712,MB0220,C02,2024-04-30,60
CHK01713,MB0366,C05,2024-06-13,75
CHK01714,MB0378,C03,2024-08-18,75
CHK01715,MB0107,C06,2024-12-08,60
CHK01716,MB0251,C04,2024-05-07,60
CHK01717,MB0540,C04,2024-03-02,45
CHK01718,MB0489,C03,2024-12-22,60
CHK01719,MB0351,C08,2024-09-01,60
CHK01720,MB0435,C04,2024-06-10,90
CHK01721,MB0569,C06,2024-02-01,30
CHK01722,MB0488,C03,2024-05-31,30
CHK01723,MB0741,C03,2024-09-03,90
CHK01724,MB0322,C05,2024-05-03,75
CHK01725,MB0121,C06,2024-08-11,45
CHK01726,MB0411,C08,2024-11-08,30
CHK01727,MB0685,C07,2024-01-24,45
CHK01728,MB0443,C05,2024-03-10,90
CHK01729,MB0120,C04,2024-12-10,45
CHK01730,MB0145,C01,2024-10-18,45
CHK01731,MB0329,C04,2024-05-26,45
CHK01732,MB0700,C01,2024-11-26,30
CHK01733,MB0365,C03,2024-08-26,45
CHK01734,MB0043,C06,2024-10-09,45
CHK01735,MB0630,C07,2024-06-13,90
CHK01736,MB0048,C08,2024-02-17,60
CHK01737,MB0675,C02,2024-09-06,30
CHK01738,MB0193,C05,2024-01-05,90
CHK01739,MB0482,C07,2024-11-18,60
CHK01740,MB0025,C02,2024-07-12,45
CHK01741,MB0759,C04,2024-12-19,90
CHK01742,MB0296,C06,2024-05-17,90
CHK01743,MB0043,C05,2024-05-09,75
CHK01744,MB0750,C07,2024-03-07,75
CHK01745,MB0487,C03,2024-12-16,90
CHK01746,MB0443,C05,2024-01-18,90
CHK01747,MB0544,C03,2024-09-12,45
CHK01748,MB0211,C04,2024-04-28,60
CHK01749,MB0767,C08,2024-11-13,75
CHK01750,MB0150,C06,2024-12-06,30
CHK01751,MB0636,C01,2024-11-21,90
CHK01752,MB0049,C01,2024-09-27,90
CHK01753,MB0615,C04,2024-07-10,45
CHK01754,MB0367,C04,2024-11-06,60
CHK01755,MB0315,C06,2024-05-26,90
CHK01756,MB0458,C01,2024-08-08,60
CHK01757,MB0445,C06,2024-07-28,30
CHK01758,MB0339,C03,2024-06-06,60
CHK01759,MB0040,C05,2024-06-28,75
CHK01760,MB0058,C04,2024-10-30,90
CHK01761,MB0668,C02,2024-05-21,60
CHK01762,MB0470,C03,2024-09-19,45
CHK01763,MB0724,C08,2024-01-11,45
CHK01764,MB0267,C04,2024-01-04,45
CHK01765,MB0106,C01,2024-09-11,90
CHK01766,MB0573,C07,2024-01-15,75
CHK01767,MB0681,C01,2024-12-03,90
CHK01768,MB0742,C03,2024-08-01,75
CHK01769,MB0200,C02,2024-12-04,30
CHK01770,MB0127,C06,2024-06-13,30
CHK01771,MB0182,C04,2024-06-23,75
CHK01772,MB0181,C05,2024-08-05,75
CHK01773,MB0439,C03,2024-01-10,45
CHK01774,MB0529,C08,2024-09-19,75
CHK01775,MB0620,C04,2024-03-02,30
CHK01776,MB0721,C06,2024-02-08,45
CHK01777,MB0286,C05,2024-03-05,60
CHK01778,MB0527,C05,2024-12-24,75
CHK01779,MB0654,C02,2024-06-29,90
CHK01780,MB0167,C08,2024-08-10,90
CHK01781,MB0800,C01,2024-11-28,60
CHK01782,MB0144,C04,2024-12-30,60
CHK01783,MB0270,C04,2024-04-10,90
CHK01784,MB0381,C06,2024-04-14,60
CHK01785,MB0190,C06,2024-09-11,60
CHK01786,MB0498,C02,2024-04-18,75
CHK01787,MB0425,C02,2024-03-08,60
CHK01788,MB0075,C05,2024-03-08,30
CHK01789,MB0103,C08,2024-07-03,60
CHK01790,MB0653,C08,2024-10-30,60
CHK01791,MB0648,C04,2024-01-03,45
CHK01792,MB0673,C01,2024-10-01,45
CHK01793,MB0492,C07,2024-11-15,30
CHK01794,MB0747,C03,2024-05-01,90
CHK01795,MB0786,C08,2024-09-15,30
CHK01796,MB0034,C07,2024-09-19,90
CHK01797,MB0312,C01,2024-10-30,30
CHK01798,MB0655,C06,2024-04-28,60
CHK01799,MB0296,C07,2024-06-04,75
CHK01800,MB0791,C02,2024-08-11,30
CHK01801,MB0086,C02,2024-07-10,90
CHK01802,MB0711,C06,2024-05-23,75
CHK01803,MB0540,C04,2024-11-10,90
CHK01804,MB0391,C07,2024-06-21,45
CHK01805,MB0128,C06,2024-08-21,30
CHK01806,MB0259,C05,2024-09-23,60
CHK01807,MB0146,C01,2024-03-23,45
CHK01808,MB0198,C03,2024-04-16,90
CHK01809,MB0738,C06,2024-09-18,45
CHK01810,MB0075,C04,2024-12-26,60
CHK01811,MB0297,C05,2024-05-16,60
CHK01812,MB0421,C05,2024-11-14,75
CHK01813,MB0570,C02,2024-06-20,60
CHK01814,MB0280,C08,2024-03-25,75
CHK01815,MB0462,C05,2024-04-12,30
CHK01816,MB0295,C04,2024-02-16,30
CHK01817,MB0761,C04,2024-01-14,60
CHK01818,MB0546,C06,2024-12-03,90
CHK01819,MB0561,C08,2024-08-07,30
CHK01820,MB0179,C01,2024-01-21,30
CHK01821,MB0129,C03,2024-08-04,60
CHK01822,MB0173,C01,2024-04-11,30
CHK01823,MB0660,C07,2024-01-11,75
CHK01824,MB0485,C05,2024-09-17,75
CHK01825,MB0627,C06,2024-03-01,90
CHK01826,MB0452,C04,2024-12-15,60
CHK01827,MB0493,C01,2024-12-09,75
CHK01828,MB0483,C06,2024-12-08,75
CHK01829,MB0636,C05,2024-07-10,75
CHK01830,MB0362,C05,2024-04-21,75
CHK01831,MB0014,C08,2024-06-24,90
CHK01832,MB0441,C08,2024-07-20,30
CHK01833,MB0264,C06,2024-09-24,90
CHK01834,MB0347,C05,2024-03-14,30
CHK01835,MB0697,C03,2024-07-02,30
CHK01836,MB0553,C06,2024-01-28,60
CHK01837,MB0474,C07,2024-06-11,90
CHK01838,MB0053,C06,2024-10-15,75
CHK01839,MB0620,C08,2024-01-28,45
CHK01840,MB0342,C03,2024-10-29,30
CHK01841,MB0371,C07,2024-11-03,75
CHK01842,MB0127,C04,2024-05-13,90
CHK01843,MB0514,C01,2024-05-02,90
CHK01844,MB0628,C02,2024-05-13,30
CHK01845,MB0629,C01,2024-09-24,45
CHK01846,MB0483,C08,2024-05-23,30
CHK01847,MB0418,C01,2024-03-06,30
CHK01848,MB0231,C08,2024-07-16,75
CHK01849,MB0689,C08,2024-10-02,45
CHK01850,MB0498,C01,2024-07-04,90
CHK01851,MB0326,C08,2024-11-09,30
CHK01852,MB0687,C04,2024-01-23,60
CHK01853,MB0008,C08,2024-07-11,45
CHK01854,MB0652,C02,2024-04-19,90
CHK01855,MB0171,C08,2024-01-06,30
CHK01856,MB0076,C03,2024-11-28,30
CHK01857,MB0107,C08,2024-05-18,60
CHK01858,MB0152,C05,2024-09-21,45
CHK01859,MB0013,C05,2024-04-16,30
CHK01860,MB0644,C06,2024-07-15,90
CHK01861,MB0493,C03,2024-02-27,30
CHK01862,MB0713,C04,2024-02-18,90
CHK01863,MB0276,C01,2024-04-14,75
CHK01864,MB0709,C03,2024-10-21,60
CHK01865,MB0610,C04,2024-01-28,60
CHK01866,MB0076,C04,2024-12-04,90
CHK01867,MB0461,C03,2024-04-20,30
CHK01868,MB0248,C07,2024-04-05,30
CHK01869,MB0491,C06,2024-05-06,75
CHK01870,MB0026,C04,2024-12-22,45
CHK01871,MB0649,C05,2024-09-14,30
CHK01872,MB0576,C01,2024-01-06,30
CHK01873,MB0009,C07,2024-09-11,60
CHK01874,MB0376,C08,2024-06-28,90
CHK01875,MB0518,C02,2024-12-07,90
CHK01876,MB0387,C04,2024-08-24,30
CHK01877,MB0400,C01,2024-06-28,60
CHK01878,MB0495,C04,2024-01-23,75
CHK01879,MB0331,C01,2024-09-23,90
CHK01880,MB0759,C06,2024-02-16,75
CHK01881,MB0755,C02,2024-02-17,30
CHK01882,MB0341,C05,2024-11-07,30
CHK01883,MB0661,C02,2024-01-19,30
CHK01884,MB0306,C08,2024-04-10,45
CHK01885,MB0596,C03,2024-04-06,30
CHK01886,MB0442,C01,2024-02-02,45
CHK01887,MB0247,C08,2024-09-21,75
CHK01888,MB0325,C08,2024-08-20,30
CHK01889,MB0365,C05,2024-03-15,30
CHK01890,MB0437,C07,2024-07-11,30
CHK01891,MB0637,C08,2024-04-28,60
CHK01892,MB0537,C05,2024-09-10,45
CHK01893,MB0780,C06,2024-03-06,30
CHK01894,MB0702,C01,2024-10-26,90
CHK01895,MB0029,C04,2024-03-08,45
CHK01896,MB0592,C08,2024-02-21,75
CHK01897,MB0352,C03,2024-10-25,30
CHK01898,MB0239,C01,2024-02-26,45
CHK01899,MB0129,C07,2024-08-18,30
CHK01900,MB0516,C07,2024-03-28,60
CHK01901,MB0125,C05,2024-06-20,30
CHK01902,MB0294,C04,2024-07-30,45
CHK01903,MB0360,C03,2024-02-19,75
CHK01904,MB0517,C02,2024-11-20,60
CHK01905,MB0250,C03,2024-03-15,30
CHK01906,MB0763,C02,2024-12-16,75
CHK01907,MB0259,C08,2024-07-19,30
CHK01908,MB0385,C02,2024-11-23,30
CHK01909,MB0388,C02,2024-11-24,30
CHK01910,MB0762,C02,2024-05-29,90
CHK01911,MB0120,C03,2024-09-22,75
CHK01912,MB0161,C03,2024-11-15,30
CHK01913,MB0644,C05,2024-09-20,45
CHK01914,MB0329,C05,2024-09-15,45
CHK01915,MB0184,C07,2024-05-27,30
CHK01916,MB0544,C05,2024-07-13,75
CHK01917,MB0596,C05,2024-09-27,75
CHK01918,MB0049,C08,2024-05-01,45
CHK01919,MB0290,C06,2024-07-22,60
CHK01920,MB0713,C04,2024-02-18,45
CHK01921,MB0596,C06,2024-07-31,75
CHK01922,MB0172,C02,2024-05-17,45
CHK01923,MB0307,C01,2024-12-20,60
CHK01924,MB0585,C07,2024-07-29,30
CHK01925,MB0059,C05,2024-01-24,75
CHK01926,MB0558,C07,2024-09-28,45
CHK01927,MB0427,C06,2024-09-10,75
CHK01928,MB0399,C08,2024-01-28,90
CHK01929,MB0357,C01,2024-10-30,30
CHK01930,MB0435,C04,2024-09-12,75
CHK01931,MB0472,C08,2024-02-29,75
CHK01932,MB0292,C03,2024-05-17,75
